activity_id,lead_id,channel,attempt_number,activity_date,response_received,response_type,meeting_booked
A001428,L0176,Cold Call,3,2024-09-20,No,No Response,No
A001429,L0176,Email,4,2024-09-11,No,No Response,No
A001430,L0176,LinkedIn,4,2024-09-27,No,No Response,No
A001431,L0176,Cold Call,4,2024-10-07,No,No Response,No
A001432,L0176,Email,5,2024-10-19,No,No Response,No
A001433,L0176,LinkedIn,5,2024-09-21,No,No Response,No
A001434,L0176,Cold Call,5,2024-09-15,No,No Response,No
A001435,L0177,Email,1,2024-09-23,No,No Response,No
A001436,L0177,LinkedIn,1,2024-10-17,No,No Response,No
A001437,L0177,Cold Call,1,2024-09-11,No,No Response,No
A001438,L0177,Email,2,2024-10-20,No,No Response,No
A001439,L0177,LinkedIn,2,2024-10-27,No,No Response,No
A001440,L0177,Cold Call,2,2024-10-09,No,No Response,No
A001441,L0177,Email,3,2024-09-29,No,No Response,No
A001442,L0177,LinkedIn,3,2024-09-19,No,No Response,No
A001443,L0177,Cold Call,3,2024-10-06,No,No Response,No
A001444,L0177,Email,4,2024-10-11,No,No Response,No
A001445,L0177,LinkedIn,4,2024-09-08,No,No Response,No
A001446,L0177,Cold Call,4,2024-09-07,No,No Response,No
A001447,L0177,Email,5,2024-10-15,No,No Response,No
A001448,L0177,LinkedIn,5,2024-09-28,No,No Response,No
A001449,L0177,Cold Call,5,2024-10-09,No,No Response,No
A001450,L0178,Email,1,2024-10-13,No,No Response,No
A001451,L0178,LinkedIn,1,2024-10-18,No,No Response,No
A001452,L0178,Cold Call,1,2024-09-14,No,No Response,No
A001453,L0178,Email,2,2024-10-12,No,No Response,No
A001454,L0178,LinkedIn,2,2024-09-15,No,No Response,No
A001455,L0178,Cold Call,2,2024-09-26,No,No Response,No
A001456,L0178,Email,3,2024-09-29,No,No Response,No
A001457,L0178,LinkedIn,3,2024-10-21,Yes,Interested,No
A001458,L0179,Email,1,2024-10-13,No,No Response,No
A001459,L0179,LinkedIn,1,2024-09-26,No,No Response,No
A001460,L0179,Cold Call,1,2024-10-22,No,No Response,No
A001461,L0179,Email,2,2024-10-27,Yes,Interested,Yes
A001462,L0180,Email,1,2024-10-06,No,No Response,No
A001463,L0180,LinkedIn,1,2024-09-21,No,No Response,No
A001464,L0180,Cold Call,1,2024-09-17,No,No Response,No
A001465,L0180,Email,2,2024-09-09,Yes,Interested,No
A001466,L0181,Email,1,2024-10-25,No,No Response,No
A001467,L0181,LinkedIn,1,2024-10-14,No,No Response,No
A001468,L0181,Cold Call,1,2024-09-25,No,No Response,No
A001469,L0181,Email,2,2024-10-01,Yes,Interested,No
A001470,L0182,Email,1,2024-09-02,No,No Response,No
A001471,L0182,LinkedIn,1,2024-10-20,No,No Response,No
A001472,L0182,Cold Call,1,2024-09-03,No,No Response,No
A001473,L0182,Email,2,2024-10-09,No,No Response,No
A001474,L0182,LinkedIn,2,2024-09-26,No,No Response,No
A001475,L0182,Cold Call,2,2024-10-01,Yes,Interested,No
A001476,L0183,Email,1,2024-09-25,No,No Response,No
A001477,L0183,LinkedIn,1,2024-09-16,Yes,Interested,Yes
A001478,L0184,Email,1,2024-10-20,No,No Response,No
A001479,L0184,LinkedIn,1,2024-10-04,No,No Response,No
A001480,L0184,Cold Call,1,2024-09-05,No,No Response,No
A001481,L0184,Email,2,2024-09-26,No,No Response,No
A001482,L0184,LinkedIn,2,2024-10-11,No,No Response,No
A001483,L0184,Cold Call,2,2024-10-13,No,No Response,No
A001484,L0184,Email,3,2024-09-28,No,No Response,No
A001485,L0184,LinkedIn,3,2024-09-15,No,No Response,No
A001486,L0184,Cold Call,3,2024-09-25,No,No Response,No
A001487,L0184,Email,4,2024-10-31,No,No Response,No
A001488,L0184,LinkedIn,4,2024-09-16,No,No Response,No
A001489,L0184,Cold Call,4,2024-10-24,No,No Response,No
A001490,L0184,Email,5,2024-10-22,No,No Response,No
A001491,L0184,LinkedIn,5,2024-09-25,No,No Response,No
A001492,L0184,Cold Call,5,2024-09-11,No,No Response,No
A001493,L0185,Email,1,2024-10-16,No,No Response,No
A001494,L0185,LinkedIn,1,2024-09-13,No,No Response,No
A001495,L0185,Cold Call,1,2024-10-30,No,No Response,No
A001496,L0185,Email,2,2024-09-08,Yes,Not Now,No
A001497,L0186,Email,1,2024-10-07,No,No Response,No
A001498,L0186,LinkedIn,1,2024-10-22,No,No Response,No
A001499,L0186,Cold Call,1,2024-09-12,No,No Response,No
A001500,L0186,Email,2,2024-09-23,No,No Response,No
A001501,L0186,LinkedIn,2,2024-09-14,No,No Response,No
A001502,L0186,Cold Call,2,2024-09-15,No,No Response,No
A001503,L0186,Email,3,2024-10-25,No,No Response,No
A001504,L0186,LinkedIn,3,2024-09-16,No,No Response,No
A001505,L0186,Cold Call,3,2024-10-15,No,No Response,No
A001506,L0186,Email,4,2024-10-28,No,No Response,No
A001507,L0186,LinkedIn,4,2024-09-18,No,No Response,No
A001508,L0186,Cold Call,4,2024-09-15,No,No Response,No
A001509,L0186,Email,5,2024-10-02,No,No Response,No
A001510,L0186,LinkedIn,5,2024-10-30,No,No Response,No
A001511,L0186,Cold Call,5,2024-10-09,No,No Response,No
A001512,L0187,Email,1,2024-09-07,No,No Response,No
A001513,L0187,LinkedIn,1,2024-09-08,No,No Response,No
A001514,L0187,Cold Call,1,2024-09-24,No,No Response,No
A001515,L0187,Email,2,2024-10-27,No,No Response,No
A001516,L0187,LinkedIn,2,2024-09-15,No,No Response,No
A001517,L0187,Cold Call,2,2024-10-05,No,No Response,No
A001518,L0187,Email,3,2024-10-12,No,No Response,No
A001519,L0187,LinkedIn,3,2024-10-16,No,No Response,No
A001520,L0187,Cold Call,3,2024-09-14,No,No Response,No
A001521,L0187,Email,4,2024-09-12,Yes,Not Now,No
A001522,L0188,Email,1,2024-10-17,No,No Response,No
A001523,L0188,LinkedIn,1,2024-09-06,No,No Response,No
A001524,L0188,Cold Call,1,2024-10-09,No,No Response,No
A001525,L0188,Email,2,2024-10-02,No,No Response,No
A001526,L0188,LinkedIn,2,2024-10-16,No,No Response,No
A001527,L0188,Cold Call,2,2024-09-02,No,No Response,No
A001528,L0188,Email,3,2024-10-20,No,No Response,No
A001529,L0188,LinkedIn,3,2024-09-16,No,No Response,No
A001530,L0188,Cold Call,3,2024-09-29,No,No Response,No
A001531,L0188,Email,4,2024-09-29,Yes,Interested,No
A001532,L0189,Email,1,2024-10-26,No,No Response,No
A001533,L0189,LinkedIn,1,2024-09-22,No,No Response,No
A001534,L0189,Cold Call,1,2024-09-26,No,No Response,No
A001535,L0189,Email,2,2024-09-14,No,No Response,No
A001536,L0189,LinkedIn,2,2024-10-10,No,No Response,No
A001537,L0189,Cold Call,2,2024-09-08,No,No Response,No
A001538,L0189,Email,3,2024-09-10,No,No Response,No
A001539,L0189,LinkedIn,3,2024-09-27,No,No Response,No
A001540,L0189,Cold Call,3,2024-10-24,No,No Response,No
A001541,L0189,Email,4,2024-09-05,No,No Response,No
A001542,L0189,LinkedIn,4,2024-09-24,Yes,Interested,Yes
A001543,L0190,Email,1,2024-10-02,No,No Response,No
A001544,L0190,LinkedIn,1,2024-09-04,No,No Response,No
A001545,L0190,Cold Call,1,2024-10-20,No,No Response,No
A001546,L0190,Email,2,2024-09-18,No,No Response,No
A001547,L0190,LinkedIn,2,2024-09-18,No,No Response,No
A001548,L0190,Cold Call,2,2024-10-26,No,No Response,No
A001549,L0190,Email,3,2024-09-04,Yes,Not Now,No
A001550,L0191,Email,1,2024-09-02,No,No Response,No
A001551,L0191,LinkedIn,1,2024-09-14,No,No Response,No
A001552,L0191,Cold Call,1,2024-09-23,No,No Response,No
A001553,L0191,Email,2,2024-09-06,No,No Response,No
A001554,L0191,LinkedIn,2,2024-10-22,No,No Response,No
A001555,L0191,Cold Call,2,2024-09-15,No,No Response,No
A001556,L0191,Email,3,2024-10-17,No,No Response,No
A001557,L0191,LinkedIn,3,2024-10-17,No,No Response,No
A001558,L0191,Cold Call,3,2024-09-12,No,No Response,No
A001559,L0191,Email,4,2024-09-07,Yes,Not Now,No
A001560,L0192,Email,1,2024-09-21,No,No Response,No
A001561,L0192,LinkedIn,1,2024-09-25,No,No Response,No
A001562,L0192,Cold Call,1,2024-09-14,No,No Response,No
A001563,L0192,Email,2,2024-10-29,No,No Response,No
A001564,L0192,LinkedIn,2,2024-09-20,Yes,Not Now,No
A001565,L0193,Email,1,2024-10-27,No,No Response,No
A001566,L0193,LinkedIn,1,2024-09-17,No,No Response,No
A001567,L0193,Cold Call,1,2024-09-30,No,No Response,No
A001568,L0193,Email,2,2024-10-07,No,No Response,No
A001569,L0193,LinkedIn,2,2024-09-30,No,No Response,No
A001570,L0193,Cold Call,2,2024-10-17,No,No Response,No
A001571,L0193,Email,3,2024-10-05,No,No Response,No
A001572,L0193,LinkedIn,3,2024-10-12,No,No Response,No
A001573,L0193,Cold Call,3,2024-09-28,No,No Response,No
A001574,L0193,Email,4,2024-09-09,No,No Response,No
A001575,L0193,LinkedIn,4,2024-10-14,No,No Response,No
A001576,L0193,Cold Call,4,2024-10-04,No,No Response,No
A001577,L0193,Email,5,2024-10-30,No,No Response,No
A001578,L0193,LinkedIn,5,2024-09-25,No,No Response,No
A001579,L0193,Cold Call,5,2024-09-10,No,No Response,No
A001580,L0194,Email,1,2024-10-09,No,No Response,No
A001581,L0194,LinkedIn,1,2024-10-04,No,No Response,No
A001582,L0194,Cold Call,1,2024-10-16,No,No Response,No
A001583,L0194,Email,2,2024-09-13,No,No Response,No
A001584,L0194,LinkedIn,2,2024-10-31,Yes,Interested,No
A001585,L0195,Email,1,2024-09-30,No,No Response,No
A001586,L0195,LinkedIn,1,2024-09-10,No,No Response,No
A001587,L0195,Cold Call,1,2024-09-11,No,No Response,No
A001588,L0195,Email,2,2024-09-04,No,No Response,No
A001589,L0195,LinkedIn,2,2024-09-17,No,No Response,No
A001590,L0195,Cold Call,2,2024-09-22,No,No Response,No
A001591,L0195,Email,3,2024-09-08,No,No Response,No
A001592,L0195,LinkedIn,3,2024-09-02,No,No Response,No
A001593,L0195,Cold Call,3,2024-10-16,No,No Response,No
A001594,L0195,Email,4,2024-10-22,No,No Response,No
A001595,L0195,LinkedIn,4,2024-10-27,No,No Response,No
A001596,L0195,Cold Call,4,2024-10-07,No,No Response,No
A001597,L0195,Email,5,2024-09-25,No,No Response,No
A001598,L0195,LinkedIn,5,2024-10-24,No,No Response,No
A001599,L0195,Cold Call,5,2024-09-17,No,No Response,No
A001600,L0196,Email,1,2024-10-23,No,No Response,No
A001601,L0196,LinkedIn,1,2024-09-01,No,No Response,No
A001602,L0196,Cold Call,1,2024-09-14,No,No Response,No
A001603,L0196,Email,2,2024-10-18,Yes,Interested,Yes
A001604,L0197,Email,1,2024-10-04,No,No Response,No
A001605,L0197,LinkedIn,1,2024-10-10,No,No Response,No
A001606,L0197,Cold Call,1,2024-10-30,No,No Response,No
A001607,L0197,Email,2,2024-10-30,No,No Response,No
A001608,L0197,LinkedIn,2,2024-10-02,No,No Response,No
A001609,L0197,Cold Call,2,2024-09-29,No,No Response,No
A001610,L0197,Email,3,2024-10-18,Yes,Interested,No
A001611,L0198,Email,1,2024-09-23,No,No Response,No
A001612,L0198,LinkedIn,1,2024-09-11,No,No Response,No
A001613,L0198,Cold Call,1,2024-10-18,No,No Response,No
A001614,L0198,Email,2,2024-10-15,No,No Response,No
A001615,L0198,LinkedIn,2,2024-09-10,No,No Response,No
A001616,L0198,Cold Call,2,2024-09-11,No,No Response,No
A001617,L0198,Email,3,2024-09-01,No,No Response,No
A001618,L0198,LinkedIn,3,2024-09-27,No,No Response,No
A001619,L0198,Cold Call,3,2024-10-04,Yes,Not Now,No
A001620,L0199,Email,1,2024-10-16,No,No Response,No
A001621,L0199,LinkedIn,1,2024-10-05,No,No Response,No
A001622,L0199,Cold Call,1,2024-09-07,No,No Response,No
A001623,L0199,Email,2,2024-09-12,No,No Response,No
A001624,L0199,LinkedIn,2,2024-10-14,No,No Response,No
A001625,L0199,Cold Call,2,2024-10-01,No,No Response,No
A001626,L0199,Email,3,2024-10-20,No,No Response,No
A001627,L0199,LinkedIn,3,2024-10-07,No,No Response,No
A001628,L0199,Cold Call,3,2024-10-16,No,No Response,No
A001629,L0199,Email,4,2024-09-09,No,No Response,No
A001630,L0199,LinkedIn,4,2024-09-30,No,No Response,No
A001631,L0199,Cold Call,4,2024-10-06,No,No Response,No
A001632,L0199,Email,5,2024-09-29,No,No Response,No
A001633,L0199,LinkedIn,5,2024-09-23,No,No Response,No
A001634,L0199,Cold Call,5,2024-10-30,No,No Response,No
A001635,L0200,Email,1,2024-10-10,No,No Response,No
A001636,L0200,LinkedIn,1,2024-09-04,No,No Response,No
A001637,L0200,Cold Call,1,2024-10-07,No,No Response,No
A001638,L0200,Email,2,2024-09-07,No,No Response,No
A001639,L0200,LinkedIn,2,2024-09-18,No,No Response,No
A001640,L0200,Cold Call,2,2024-09-01,No,No Response,No
A001641,L0200,Email,3,2024-10-27,No,No Response,No
A001642,L0200,LinkedIn,3,2024-09-09,Yes,Not Now,No
A001643,L0201,Email,1,2024-09-20,No,No Response,No
A001644,L0201,LinkedIn,1,2024-10-20,Yes,Interested,No
A001645,L0202,Email,1,2024-10-31,No,No Response,No
A001646,L0202,LinkedIn,1,2024-09-10,No,No Response,No
A001647,L0202,Cold Call,1,2024-10-26,No,No Response,No
A001648,L0202,Email,2,2024-10-09,No,No Response,No
A001649,L0202,LinkedIn,2,2024-09-06,No,No Response,No
A001650,L0202,Cold Call,2,2024-10-12,No,No Response,No
A001651,L0202,Email,3,2024-10-07,No,No Response,No
A001652,L0202,LinkedIn,3,2024-09-18,No,No Response,No
A001653,L0202,Cold Call,3,2024-09-09,No,No Response,No
A001654,L0202,Email,4,2024-10-14,No,No Response,No
A001655,L0202,LinkedIn,4,2024-10-24,Yes,Interested,No
A001656,L0203,Email,1,2024-10-27,No,No Response,No
A001657,L0203,LinkedIn,1,2024-09-08,No,No Response,No
A001658,L0203,Cold Call,1,2024-09-08,No,No Response,No
A001659,L0203,Email,2,2024-09-18,No,No Response,No
A001660,L0203,LinkedIn,2,2024-10-15,No,No Response,No
A001661,L0203,Cold Call,2,2024-09-05,No,No Response,No
A001662,L0203,Email,3,2024-10-01,No,No Response,No
A001663,L0203,LinkedIn,3,2024-09-22,Yes,Not Now,No
A001664,L0204,Email,1,2024-09-28,No,No Response,No
A001665,L0204,LinkedIn,1,2024-10-22,No,No Response,No
A001666,L0204,Cold Call,1,2024-09-05,No,No Response,No
A001667,L0204,Email,2,2024-09-14,No,No Response,No
A001668,L0204,LinkedIn,2,2024-10-06,No,No Response,No
A001669,L0204,Cold Call,2,2024-09-21,No,No Response,No
A001670,L0204,Email,3,2024-09-06,No,No Response,No
A001671,L0204,LinkedIn,3,2024-10-12,No,No Response,No
A001672,L0204,Cold Call,3,2024-10-11,No,No Response,No
A001673,L0204,Email,4,2024-09-20,No,No Response,No
A001674,L0204,LinkedIn,4,2024-10-01,No,No Response,No
A001675,L0204,Cold Call,4,2024-10-20,No,No Response,No
A001676,L0204,Email,5,2024-09-08,No,No Response,No
A001677,L0204,LinkedIn,5,2024-10-04,No,No Response,No
A001678,L0204,Cold Call,5,2024-09-04,No,No Response,No
A001679,L0205,Email,1,2024-10-24,No,No Response,No
A001680,L0205,LinkedIn,1,2024-10-30,No,No Response,No
A001681,L0205,Cold Call,1,2024-09-10,No,No Response,No
A001682,L0205,Email,2,2024-09-17,No,No Response,No
A001683,L0205,LinkedIn,2,2024-10-15,No,No Response,No
A001684,L0205,Cold Call,2,2024-09-23,No,No Response,No
A001685,L0205,Email,3,2024-09-04,No,No Response,No
A001686,L0205,LinkedIn,3,2024-09-08,No,No Response,No
A001687,L0205,Cold Call,3,2024-09-16,No,No Response,No
A001688,L0205,Email,4,2024-09-22,No,No Response,No
A001689,L0205,LinkedIn,4,2024-09-04,Yes,Interested,No
A001690,L0206,Email,1,2024-10-22,No,No Response,No
A001691,L0206,LinkedIn,1,2024-10-13,No,No Response,No
A001692,L0206,Cold Call,1,2024-09-30,No,No Response,No
A001693,L0206,Email,2,2024-10-05,No,No Response,No
A001694,L0206,LinkedIn,2,2024-09-04,No,No Response,No
A001695,L0206,Cold Call,2,2024-10-29,No,No Response,No
A001696,L0206,Email,3,2024-09-30,No,No Response,No
A001697,L0206,LinkedIn,3,2024-09-20,No,No Response,No
A001698,L0206,Cold Call,3,2024-10-11,Yes,Interested,Yes
A001699,L0207,Email,1,2024-09-10,No,No Response,No
A001700,L0207,LinkedIn,1,2024-10-01,No,No Response,No
A001701,L0207,Cold Call,1,2024-09-07,No,No Response,No
A001702,L0207,Email,2,2024-10-30,No,No Response,No
A001703,L0207,LinkedIn,2,2024-10-15,No,No Response,No
A001704,L0207,Cold Call,2,2024-09-10,No,No Response,No
A001705,L0207,Email,3,2024-09-01,No,No Response,No
A001706,L0207,LinkedIn,3,2024-09-27,No,No Response,No
A001707,L0207,Cold Call,3,2024-10-29,No,No Response,No
A001708,L0207,Email,4,2024-09-26,No,No Response,No
A001709,L0207,LinkedIn,4,2024-09-25,No,No Response,No
A001710,L0207,Cold Call,4,2024-09-08,No,No Response,No
A001711,L0207,Email,5,2024-09-04,No,No Response,No
A001712,L0207,LinkedIn,5,2024-09-18,No,No Response,No
A001713,L0207,Cold Call,5,2024-09-09,No,No Response,No
A001714,L0208,Email,1,2024-10-09,No,No Response,No
A001715,L0208,LinkedIn,1,2024-09-10,Yes,Not Now,No
A001716,L0209,Email,1,2024-09-08,No,No Response,No
A001717,L0209,LinkedIn,1,2024-09-01,No,No Response,No
A001718,L0209,Cold Call,1,2024-09-22,No,No Response,No
A001719,L0209,Email,2,2024-09-09,No,No Response,No
A001720,L0209,LinkedIn,2,2024-10-17,No,No Response,No
A001721,L0209,Cold Call,2,2024-10-29,No,No Response,No
A001722,L0209,Email,3,2024-09-01,No,No Response,No
A001723,L0209,LinkedIn,3,2024-10-24,Yes,Interested,No
A001724,L0210,Email,1,2024-10-12,No,No Response,No
A001725,L0210,LinkedIn,1,2024-10-01,No,No Response,No
A001726,L0210,Cold Call,1,2024-10-29,No,No Response,No
A001727,L0210,Email,2,2024-09-11,No,No Response,No
A001728,L0210,LinkedIn,2,2024-10-20,No,No Response,No
A001729,L0210,Cold Call,2,2024-10-27,No,No Response,No
A001730,L0210,Email,3,2024-10-18,No,No Response,No
A001731,L0210,LinkedIn,3,2024-10-30,No,No Response,No
A001732,L0210,Cold Call,3,2024-09-30,No,No Response,No
A001733,L0210,Email,4,2024-10-29,No,No Response,No
A001734,L0210,LinkedIn,4,2024-09-19,No,No Response,No
A001735,L0210,Cold Call,4,2024-09-28,No,No Response,No
A001736,L0210,Email,5,2024-09-19,No,No Response,No
A001737,L0210,LinkedIn,5,2024-09-07,No,No Response,No
A001738,L0210,Cold Call,5,2024-09-22,No,No Response,No
A001739,L0211,Email,1,2024-09-24,No,No Response,No
A001740,L0211,LinkedIn,1,2024-09-09,No,No Response,No
A001741,L0211,Cold Call,1,2024-09-01,No,No Response,No
A001742,L0211,Email,2,2024-10-20,No,No Response,No
A001743,L0211,LinkedIn,2,2024-10-18,No,No Response,No
A001744,L0211,Cold Call,2,2024-09-07,No,No Response,No
A001745,L0211,Email,3,2024-10-22,No,No Response,No
A001746,L0211,LinkedIn,3,2024-09-25,No,No Response,No
A001747,L0211,Cold Call,3,2024-10-24,No,No Response,No
A001748,L0211,Email,4,2024-10-22,No,No Response,No
A001749,L0211,LinkedIn,4,2024-10-25,No,No Response,No
A001750,L0211,Cold Call,4,2024-10-16,No,No Response,No
A001751,L0211,Email,5,2024-10-26,Yes,Interested,No
A001752,L0212,Email,1,2024-10-04,No,No Response,No
A001753,L0212,LinkedIn,1,2024-09-29,No,No Response,No
A001754,L0212,Cold Call,1,2024-10-28,No,No Response,No
A001755,L0212,Email,2,2024-10-08,No,No Response,No
A001756,L0212,LinkedIn,2,2024-10-07,No,No Response,No
A001757,L0212,Cold Call,2,2024-10-27,No,No Response,No
A001758,L0212,Email,3,2024-09-08,No,No Response,No
A001759,L0212,LinkedIn,3,2024-10-26,No,No Response,No
A001760,L0212,Cold Call,3,2024-09-15,No,No Response,No
A001761,L0212,Email,4,2024-09-08,No,No Response,No
A001762,L0212,LinkedIn,4,2024-10-16,Yes,Interested,No
A001763,L0213,Email,1,2024-09-18,No,No Response,No
A001764,L0213,LinkedIn,1,2024-09-21,No,No Response,No
A001765,L0213,Cold Call,1,2024-10-08,No,No Response,No
A001766,L0213,Email,2,2024-10-17,Yes,Interested,No
A001767,L0214,Email,1,2024-10-10,No,No Response,No
A001768,L0214,LinkedIn,1,2024-09-26,No,No Response,No
A001769,L0214,Cold Call,1,2024-09-12,No,No Response,No
A001770,L0214,Email,2,2024-09-21,No,No Response,No
A001771,L0214,LinkedIn,2,2024-10-08,No,No Response,No
A001772,L0214,Cold Call,2,2024-10-16,No,No Response,No
A001773,L0214,Email,3,2024-10-07,No,No Response,No
A001774,L0214,LinkedIn,3,2024-10-17,Yes,Not Now,No
A001775,L0215,Email,1,2024-09-10,Yes,Interested,No
A001776,L0216,Email,1,2024-10-02,No,No Response,No
A001777,L0216,LinkedIn,1,2024-09-18,No,No Response,No
A001778,L0216,Cold Call,1,2024-09-20,No,No Response,No
A001779,L0216,Email,2,2024-10-24,No,No Response,No
A001780,L0216,LinkedIn,2,2024-10-01,No,No Response,No
A001781,L0216,Cold Call,2,2024-10-02,No,No Response,No
A001782,L0216,Email,3,2024-09-30,No,No Response,No
A001783,L0216,LinkedIn,3,2024-10-06,No,No Response,No
A001784,L0216,Cold Call,3,2024-09-22,No,No Response,No
A001785,L0216,Email,4,2024-09-04,No,No Response,No
A001786,L0216,LinkedIn,4,2024-09-27,No,No Response,No
A001787,L0216,Cold Call,4,2024-10-23,No,No Response,No
A001788,L0216,Email,5,2024-10-01,No,No Response,No
A001789,L0216,LinkedIn,5,2024-10-13,Yes,Interested,No
A001790,L0217,Email,1,2024-09-04,No,No Response,No
A001791,L0217,LinkedIn,1,2024-09-13,No,No Response,No
A001792,L0217,Cold Call,1,2024-09-30,No,No Response,No
A001793,L0217,Email,2,2024-09-26,No,No Response,No
A001794,L0217,LinkedIn,2,2024-09-02,Yes,Interested,No
A001795,L0218,Email,1,2024-09-15,No,No Response,No
A001796,L0218,LinkedIn,1,2024-09-28,Yes,Interested,No
A001797,L0219,Email,1,2024-09-06,No,No Response,No
A001798,L0219,LinkedIn,1,2024-09-02,No,No Response,No
A001799,L0219,Cold Call,1,2024-10-18,No,No Response,No
A001800,L0219,Email,2,2024-09-12,No,No Response,No
A001801,L0219,LinkedIn,2,2024-10-20,No,No Response,No
A001802,L0219,Cold Call,2,2024-10-16,No,No Response,No
A001803,L0219,Email,3,2024-09-24,No,No Response,No
A001804,L0219,LinkedIn,3,2024-09-29,No,No Response,No
A001805,L0219,Cold Call,3,2024-10-09,No,No Response,No
A001806,L0219,Email,4,2024-09-29,No,No Response,No
A001807,L0219,LinkedIn,4,2024-10-03,No,No Response,No
A001808,L0219,Cold Call,4,2024-10-24,No,No Response,No
A001809,L0219,Email,5,2024-10-23,No,No Response,No
A001810,L0219,LinkedIn,5,2024-09-14,No,No Response,No
A001811,L0219,Cold Call,5,2024-10-31,No,No Response,No
A001812,L0220,Email,1,2024-10-28,No,No Response,No
A001813,L0220,LinkedIn,1,2024-10-14,Yes,Interested,No
A001814,L0221,Email,1,2024-10-14,No,No Response,No
A001815,L0221,LinkedIn,1,2024-09-01,No,No Response,No
A001816,L0221,Cold Call,1,2024-09-06,No,No Response,No
A001817,L0221,Email,2,2024-10-01,No,No Response,No
A001818,L0221,LinkedIn,2,2024-09-24,No,No Response,No
A001819,L0221,Cold Call,2,2024-10-29,No,No Response,No
A001820,L0221,Email,3,2024-10-25,No,No Response,No
A001821,L0221,LinkedIn,3,2024-10-03,Yes,Interested,No
A001822,L0222,Email,1,2024-09-13,Yes,Interested,No
A001823,L0223,Email,1,2024-09-09,No,No Response,No
A001824,L0223,LinkedIn,1,2024-10-08,No,No Response,No
A001825,L0223,Cold Call,1,2024-10-13,No,No Response,No
A001826,L0223,Email,2,2024-10-03,No,No Response,No
A001827,L0223,LinkedIn,2,2024-09-03,No,No Response,No
A001828,L0223,Cold Call,2,2024-10-23,No,No Response,No
A001829,L0223,Email,3,2024-10-08,No,No Response,No
A001830,L0223,LinkedIn,3,2024-09-09,No,No Response,No
A001831,L0223,Cold Call,3,2024-10-08,No,No Response,No
A001832,L0223,Email,4,2024-09-09,No,No Response,No
A001833,L0223,LinkedIn,4,2024-10-22,No,No Response,No
A001834,L0223,Cold Call,4,2024-10-19,No,No Response,No
A001835,L0223,Email,5,2024-10-20,No,No Response,No
A001836,L0223,LinkedIn,5,2024-10-17,No,No Response,No
A001837,L0223,Cold Call,5,2024-10-07,Yes,Interested,No
A001838,L0224,Email,1,2024-09-13,No,No Response,No
A001839,L0224,LinkedIn,1,2024-09-26,No,No Response,No
A001840,L0224,Cold Call,1,2024-09-24,No,No Response,No
A001841,L0224,Email,2,2024-10-30,No,No Response,No
A001842,L0224,LinkedIn,2,2024-10-07,Yes,Interested,Yes
A001843,L0225,Email,1,2024-09-27,Yes,Interested,No
A001844,L0226,Email,1,2024-09-07,No,No Response,No
A001845,L0226,LinkedIn,1,2024-10-19,Yes,Interested,No
A001846,L0227,Email,1,2024-10-02,Yes,Not Now,No
A001847,L0228,Email,1,2024-09-19,No,No Response,No
A001848,L0228,LinkedIn,1,2024-10-09,No,No Response,No
A001849,L0228,Cold Call,1,2024-09-15,No,No Response,No
A001850,L0228,Email,2,2024-10-29,No,No Response,No
A001851,L0228,LinkedIn,2,2024-10-10,No,No Response,No
A001852,L0228,Cold Call,2,2024-10-17,No,No Response,No
A001853,L0228,Email,3,2024-10-09,No,No Response,No
A001854,L0228,LinkedIn,3,2024-10-02,No,No Response,No
A001855,L0228,Cold Call,3,2024-10-14,No,No Response,No
A001856,L0228,Email,4,2024-10-20,No,No Response,No
A001857,L0228,LinkedIn,4,2024-10-24,No,No Response,No
A001858,L0228,Cold Call,4,2024-10-17,No,No Response,No
A001859,L0228,Email,5,2024-10-24,No,No Response,No
A001860,L0228,LinkedIn,5,2024-10-19,No,No Response,No
A001861,L0228,Cold Call,5,2024-09-11,No,No Response,No
A001862,L0229,Email,1,2024-09-21,No,No Response,No
A001863,L0229,LinkedIn,1,2024-10-10,No,No Response,No
A001864,L0229,Cold Call,1,2024-10-20,No,No Response,No
A001865,L0229,Email,2,2024-09-20,No,No Response,No
A001866,L0229,LinkedIn,2,2024-09-02,No,No Response,No
A001867,L0229,Cold Call,2,2024-10-29,No,No Response,No
A001868,L0229,Email,3,2024-10-25,No,No Response,No
A001869,L0229,LinkedIn,3,2024-09-08,No,No Response,No
A001870,L0229,Cold Call,3,2024-09-29,No,No Response,No
A001871,L0229,Email,4,2024-10-03,No,No Response,No
A001872,L0229,LinkedIn,4,2024-09-28,No,No Response,No
A001873,L0229,Cold Call,4,2024-10-06,No,No Response,No
A001874,L0229,Email,5,2024-10-02,Yes,Interested,No
A001875,L0230,Email,1,2024-10-30,No,No Response,No
A001876,L0230,LinkedIn,1,2024-10-24,No,No Response,No
A001877,L0230,Cold Call,1,2024-10-18,No,No Response,No
A001878,L0230,Email,2,2024-09-22,No,No Response,No
A001879,L0230,LinkedIn,2,2024-10-12,No,No Response,No
A001880,L0230,Cold Call,2,2024-10-25,No,No Response,No
A001881,L0230,Email,3,2024-10-31,No,No Response,No
A001882,L0230,LinkedIn,3,2024-10-06,No,No Response,No
A001883,L0230,Cold Call,3,2024-10-12,No,No Response,No
A001884,L0230,Email,4,2024-09-24,No,No Response,No
A001885,L0230,LinkedIn,4,2024-10-24,No,No Response,No
